op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,17208,0,0,0,0,0,0,17541,3500
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13250,0,0,0,0,0,0,13375,1416
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,14959,0,0,0,0,0,0,15041,2708
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,16042,0,0,0,0,0,0,16084,4125
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14500,0,0,0,0,0,0,14583,2583
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13375,0,0,0,0,0,0,13459,1333
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13916,0,0,0,0,0,0,14000,1959
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14459,0,0,0,0,0,0,14583,2834
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14333,0,0,0,0,0,0,14375,2417
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13041,0,0,0,0,0,0,13125,1291
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13750,0,0,0,0,0,0,13833,1917
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14250,0,0,0,0,0,0,14375,2667
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14417,0,0,0,0,0,0,14500,2458
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13125,0,0,0,0,0,0,13208,1292
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13625,0,0,0,0,0,0,13709,1833
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14209,0,0,0,0,0,0,14291,2542
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14375,0,0,0,0,0,0,14459,2500
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,12958,0,0,0,0,0,0,13000,1292
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13833,0,0,0,0,0,0,13917,1750
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,16250,0,0,0,0,0,0,16334,4417
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14417,0,0,0,0,0,0,14500,2542
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13166,0,0,0,0,0,0,13208,1292
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,14000,0,0,0,0,0,0,14042,1875
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14584,0,0,0,0,0,0,14667,2750
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14334,0,0,0,0,0,0,14458,2417
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13208,0,0,0,0,0,0,13333,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13542,0,0,0,0,0,0,13667,1792
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14250,0,0,0,0,0,0,14375,2625
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,18667,0,0,0,0,0,0,18750,7042
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13209,0,0,0,0,0,0,13250,1333
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13875,0,0,0,0,0,0,13958,1917
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14584,0,0,0,0,0,0,14708,2750
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14334,0,0,0,0,0,0,14416,2500
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13042,0,0,0,0,0,0,13125,1375
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13500,0,0,0,0,0,0,13583,1750
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14333,0,0,0,0,0,0,14417,2584
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14083,0,0,0,0,0,0,14125,2417
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13041,0,0,0,0,0,0,13125,1292
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,19542,0,0,0,0,0,0,19625,7625
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,17375,0,0,0,0,0,0,17459,5208
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14334,0,0,0,0,0,0,14375,2417
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13167,0,0,0,0,0,0,13250,1292
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13584,0,0,0,0,0,0,13625,1833
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14458,0,0,0,0,0,0,14500,2584
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14166,0,0,0,0,0,0,14250,2458
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,12875,0,0,0,0,0,0,12959,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13666,0,0,0,0,0,0,13750,1792
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14333,0,0,0,0,0,0,14459,2583
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14167,0,0,0,0,0,0,14250,2417
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,12958,0,0,0,0,0,0,13042,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13459,0,0,0,0,0,0,13541,1667
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14250,0,0,0,0,0,0,14333,2542
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,13875,0,0,0,0,0,0,13959,2375
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13417,0,0,0,0,0,0,13500,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13667,0,0,0,0,0,0,13750,1667
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14375,0,0,0,0,0,0,14500,2541
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14500,0,0,0,0,0,0,14625,2709
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,12917,0,0,0,0,0,0,13000,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13791,0,0,0,0,0,0,13875,1750
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14250,0,0,0,0,0,0,14292,2542
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14000,0,0,0,0,0,0,14083,2416
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13000,0,0,0,0,0,0,13125,1292
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13750,0,0,0,0,0,0,13834,1708
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14458,0,0,0,0,0,0,14542,2583
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14334,0,0,0,0,0,0,14458,2708
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13083,0,0,0,0,0,0,13125,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13333,0,0,0,0,0,0,13459,1708
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14416,0,0,0,0,0,0,14542,2625
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14166,0,0,0,0,0,0,14250,2500
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,12958,0,0,0,0,0,0,13042,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13416,0,0,0,0,0,0,13500,1750
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14291,0,0,0,0,0,0,14375,2542
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14083,0,0,0,0,0,0,14167,2417
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13208,0,0,0,0,0,0,13292,1291
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13500,0,0,0,0,0,0,13625,1708
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14708,0,0,0,0,0,0,14792,3041
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14333,0,0,0,0,0,0,14417,2541
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13417,0,0,0,0,0,0,13500,1292
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13542,0,0,0,0,0,0,13625,1708
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14208,0,0,0,0,0,0,14250,2541
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14042,0,0,0,0,0,0,14166,2375
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13042,0,0,0,0,0,0,13083,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13834,0,0,0,0,0,0,13916,1792
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14250,0,0,0,0,0,0,14292,2541
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14333,0,0,0,0,0,0,14375,2625
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13041,0,0,0,0,0,0,13125,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13708,0,0,0,0,0,0,13833,1709
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14375,0,0,0,0,0,0,14417,2541
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14000,0,0,0,0,0,0,14083,2375
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13041,0,0,0,0,0,0,13125,1292
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13375,0,0,0,0,0,0,13458,1708
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14375,0,0,0,0,0,0,14500,2583
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14208,0,0,0,0,0,0,14333,2416
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13042,0,0,0,0,0,0,13125,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13708,0,0,0,0,0,0,13792,2000
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14417,0,0,0,0,0,0,14500,2541
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14250,0,0,0,0,0,0,14375,2458
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13084,0,0,0,0,0,0,13166,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13334,0,0,0,0,0,0,13458,1709
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14166,0,0,0,0,0,0,14250,2459
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14166,0,0,0,0,0,0,14250,2459
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13375,0,0,0,0,0,0,13500,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13625,0,0,0,0,0,0,13708,1708
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14333,0,0,0,0,0,0,14417,2583
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14250,0,0,0,0,0,0,14333,2417
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,12958,0,0,0,0,0,0,13042,1291
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13583,0,0,0,0,0,0,13709,1750
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14292,0,0,0,0,0,0,14375,2541
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,2,2,14375,0,0,0,0,0,0,14417,2333
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,1,1,13458,0,0,0,0,0,0,13542,1250
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,1,2,13458,0,0,0,0,0,0,13584,1708
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,2,3,14209,0,0,0,0,0,0,14291,2500
