op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,18625,4446416,4444500,2483250,5850417,0,10203958,19115083,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,14916,3998959,4183666,2060750,2934334,43041,6769458,14968833,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,15709,4506250,4796500,2620500,3005375,13250,7734958,17055833,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,20667,4377625,4948375,2327709,1873667,193000,6248500,15597250,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,14583,4331000,4750708,3390709,6569792,0,12353500,21451625,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,15542,4464291,4273292,2365166,2611417,15750,6858709,15613125,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,16250,4057875,4545500,2469708,2727709,9042,7235417,15857334,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,16500,4448291,4366750,1950458,1674083,234875,5639792,14472250,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,14750,4087333,4306625,2794750,5833666,0,10385125,18794875,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,14416,4385250,3694125,2025417,2663541,12375,6452958,14547708,0
