=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 8
Total Threshold(Weight): 10
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Signing Participants Total Weight: 10

# REG-ADAPT benchmark
# args_N=20 args_threshold=10 setup_ns=31885583 repeats=30 target=0 cert=full local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,24250,0,5110208,3989666,7269959,0,13386917,18522583,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,17375,0,5311917,3289291,2754208,12291,8178083,13509334,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,20750,0,4807584,2626417,3520875,49000,8220708,13050542,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,18875,0,4989084,2284292,2042750,189625,6570250,11579375,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,23833,0,5738458,3464833,7119292,0,12685834,18449084,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,16667,0,5365125,2149083,2829792,11833,7009750,12392833,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,17667,0,5148083,2654833,2869334,11792,7680292,12847166,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,18500,0,4907167,1838792,2755125,233542,6867709,11794375,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,20084,0,5585834,3661333,6920583,0,13010417,18617750,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,26750,0,5140792,2544042,2852750,31916,7449625,12618375,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,18959,0,5921375,3144833,3334125,13875,8908667,14850250,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,20708,0,4983583,2360791,1938541,200166,6529375,11535000,0
