=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 8
Total Threshold(Weight): 10
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Signing Participants Total Weight: 10

# REG-ADAPT benchmark
# args_N=20 args_threshold=10 setup_ns=26110292 repeats=30 target=0 cert=none local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,0,0,18709,0,0,2797375,5792166,0,10359542,10379583,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,0,0,14916,0,0,1907208,2640375,19792,6314417,6329959,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,0,0,15375,0,0,1983500,2680833,9500,6486834,6502750,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,0,0,14875,0,0,2021417,1675125,173250,5667875,5683167,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,0,0,13708,0,0,3636375,5780584,0,11241291,11255583,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,0,0,15291,0,0,2087084,2761042,81875,6734000,6753334,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,0,0,15084,0,0,2480375,2355958,10917,6971958,6987666,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,0,0,15375,0,0,2272250,1725000,175833,5916417,5932625,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,0,0,13958,0,0,3541583,5833125,0,11127292,11141875,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,0,0,14625,0,0,2074041,2191791,129584,6135666,6151208,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,false,0,0,15125,0,0,2908834,2441375,12375,7197792,7213458,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,false,0,0,14875,0,0,2120625,1682292,163709,5716625,5731875,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,false,0,0,13792,0,0,2499208,6074875,0,10399333,10413333,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,false,0,0,18667,0,0,2118209,2474042,12125,6466375,6485625,0
