=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 8
Total Threshold(Weight): 10
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Signing Participants Total Weight: 10

# REG-ADAPT benchmark
# args_N=20 args_threshold=10 setup_ns=34522291 repeats=30 target=0 cert=online local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,20041,4775417,0,3587458,6654666,0,12319292,17115959,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,17250,4757542,0,2791125,2989500,13792,7849750,12625500,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,18084,4702750,0,2475292,3329583,13542,7840208,12561917,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,17208,4770584,0,2386125,1972584,198042,6572666,11361375,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,16458,4979542,0,3638500,6519125,0,12228166,17225042,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,16791,4798666,0,2499875,2862334,15792,7417750,12234125,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,37625,4844292,0,3225125,3219917,12417,8472959,13357041,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,18208,5043416,0,2389541,1991917,190417,6715208,11777667,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,19667,4800042,0,2915333,6598167,0,11563792,16385000,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,16166,4698667,0,3933459,4834750,20958,11090333,15806417,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,17917,7450125,0,6207625,7450791,19917,16135000,23605125,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,21042,10498792,0,5024250,3998500,419208,14214834,24736584,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,22542,8916750,0,4825000,12618542,0,20937917,29879250,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,22583,7640625,0,3704458,3601500,36500,10947209,18613875,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,35209,7022542,0,3497541,4326916,17459,10942791,18002708,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,20417,6988125,0,2589875,2423167,249709,7714416,14725500,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,23167,6950000,0,4265250,10197417,0,17225334,24200208,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,20583,5278125,0,2917125,3158875,74459,8586708,13886666,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,23250,6460083,0,3288958,4379167,44000,10325625,16810916,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,21000,5938750,0,2749417,2437167,232084,7857541,13819084,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,19334,5971542,0,4141958,9001542,0,16049667,22042417,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,21166,5244334,0,2802291,3485500,44792,8731334,13998417,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,46791,5785041,0,3085125,3437791,33917,9007208,14841208,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,22542,5444459,0,2685083,2384917,247708,7750250,13219208,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,20208,5808666,0,3535291,8111750,0,14206625,20036959,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,25875,5839208,0,2940875,2988125,12791,8344375,14211250,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,20583,6060750,0,2993000,3582292,15667,9055375,15138458,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,21292,5446542,0,2573166,2325542,229542,7826000,13295167,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,19875,5458584,0,4295625,7960792,0,14692750,20172375,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,24833,5429542,0,2751917,3190417,14833,8511583,13967541,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,21000,5511167,0,3008459,3001500,13875,8655000,14188500,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,21208,5497875,0,2641500,2433458,223958,7734417,13254958,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,19250,5687542,0,3815458,8143750,0,14548125,20255708,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,19625,5653792,0,2989625,3256375,27375,8682042,14357458,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,23375,5435625,0,2869000,3818875,14208,9178459,14639541,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,19834,5524125,0,3051833,2418542,262500,8130833,13676042,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,20291,5580625,0,4016542,7361084,0,13839791,19441584,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,18041,4797333,0,2297625,2821000,15667,7141958,11958209,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,17208,5084417,0,2713041,2992750,13541,7731792,12835208,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,17584,4148958,0,2589792,1938083,189708,6881125,11048959,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,17042,4522250,0,3489583,6796958,0,12341875,16882166,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,16041,5351750,0,2693667,2680417,13917,7489084,12859417,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,17000,5499917,0,2953250,3548917,23959,8992583,14511417,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,49042,5753458,0,2699167,2355250,214375,7756709,13562167,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,25750,5545583,0,3959958,7137250,0,13519875,19093167,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,37625,6269334,0,3364583,3586959,33334,9760708,16070500,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,34708,8744167,0,3463084,3865417,15167,10115041,18896000,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,19792,12609292,0,8718417,3312208,600125,16214042,28845167,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,20875,13208416,0,12418250,16539500,0,32305917,45537500,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,21208,19845417,0,7945333,12353458,23375,25307083,45175708,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,23792,14566125,0,6900208,12812375,105750,25515541,40110167,0
TDecrease,0,1,true,"accepted",0,1,10,9,1,2,3,1,0,1,10,true,0,0,28167,29557625,0,10873792,4412500,1704083,28469583,58059542,0
WIncrease,0,1,true,"accepted",0,1,10,10,1,2,2,2,0,0,10,true,0,0,22167,18785250,0,7082583,13125708,0,25657708,44468125,0
TIncrease,0,1,true,"accepted",0,1,10,11,1,1,1,1,0,0,10,true,0,0,47000,12396583,0,6347500,5190583,21834,15160500,27606500,0
WDecrease,0,1,true,"accepted",0,1,10,10,1,1,2,0,1,0,10,true,0,0,22417,9008292,0,7443083,24559791,22917,35355000,44387875,0
