=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 16
Total Threshold(Weight): 20
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Signing Participants Total Weight: 20

# REG-ADAPT benchmark
# args_N=40 args_threshold=20 setup_ns=160434417 repeats=30 target=0 cert=none local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,false,0,0,20750,0,0,7890250,29393958,0,49040542,49061917,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,false,0,0,17667,0,0,5283875,7308000,23416,24634667,24652958,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,false,0,0,19667,0,0,5743250,8270375,23084,25809041,25829333,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,false,0,0,16750,0,0,5173959,4939500,257416,21976833,21994167,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,false,0,0,17875,0,0,7324959,28602000,0,48068833,48087000,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,false,0,0,14708,0,0,5248084,9106292,43625,24457292,24472667,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,false,0,0,15125,0,0,6445500,10364042,23750,26797750,26813625,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,false,0,0,18000,0,0,5743500,4969542,324167,22728625,22748333,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,false,0,0,16959,0,0,6934250,25158375,0,42212000,42229584,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,false,0,0,14917,0,0,5182959,6718416,14959,21895916,21911334,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,false,0,0,15334,0,0,5843500,7170833,17292,23314583,23330458,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,false,0,0,15500,0,0,5126542,4247083,296000,19874375,19890625,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,false,0,0,15083,0,0,6842083,26359375,0,43471250,43486875,0
