=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 16
Total Threshold(Weight): 20
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Signing Participants Total Weight: 20

# REG-ADAPT benchmark
# args_N=40 args_threshold=20 setup_ns=155177500 repeats=30 target=0 cert=online local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15000,10985167,0,7416791,25217875,0,42782250,53783250,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15000,10850791,0,5252959,6996917,17875,22403292,33269917,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15541,10800125,0,6680458,7725416,17792,24607625,35423833,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15458,10887500,0,4967541,4377250,233708,19642791,30546375,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15875,11175917,0,7104792,25118166,0,42389292,53581584,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14917,10734709,0,5056625,7104375,16625,22356584,33106916,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15167,10921916,0,5502500,7462500,21333,23089833,34027541,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14917,11024667,0,5006333,4619291,237583,19797709,30837916,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14583,10879583,0,7000417,25181750,0,42399333,53293750,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,16208,11057333,0,5874667,6962208,15375,22790459,33864958,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15292,10974250,0,5875083,8003750,23042,23817541,34807959,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15125,11276834,0,4904542,4247834,233208,19375625,30667958,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15083,10994833,0,6967958,25101541,0,42103833,53114542,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14333,11647041,0,5355708,6891708,20708,22183208,33845166,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14542,11028208,0,5444292,8326833,20625,23754625,34797625,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14458,10985958,0,4959042,4272958,231792,19462500,30463416,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15459,10942166,0,7009625,25321459,0,42389291,53347333,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14625,11008667,0,4864500,6597542,14917,21422333,32446083,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14584,11159291,0,5960458,7917000,18917,23912375,35087042,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15542,11257417,0,5141333,4215500,224958,19608625,30882292,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14458,11080917,0,7665000,24911875,0,42550834,53646791,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14667,10833792,0,5250083,6977083,15541,22350750,33200166,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14792,10935084,0,5491000,7892417,19917,23706625,34657083,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14833,11170125,0,4928084,4214708,221250,19435458,30621083,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14208,11173000,0,7279875,24997083,0,42375334,53562791,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14666,11539625,0,5134083,7362375,17959,22621625,34176417,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14917,11407416,0,5573875,7918791,22166,23579500,35002416,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14125,10901750,0,5039041,4223542,491125,19893208,30810167,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,138292,11021500,0,6951542,25214500,0,42428917,53589125,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14792,10862667,0,5043833,7259667,15333,22370667,33248875,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15125,10841042,0,5420750,7821500,17583,23473708,34330500,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14833,10924666,0,5478417,4367750,235292,20203208,31143500,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14667,10796875,0,6995541,25022375,0,42135417,52947416,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,12750,10384083,0,5028000,7016125,19750,22034875,32432708,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,13167,10847834,0,5549792,8231334,26042,23934250,34795959,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15292,10957083,0,5147792,4426208,231500,19755000,30728417,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14750,10822000,0,6938500,25105541,0,42236167,53073375,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14709,11569042,0,4970875,6785791,28583,21200167,32784750,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14583,10997416,0,5918458,7482125,24791,23465916,34478459,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14917,11160416,0,5057125,4329458,226084,19537541,30713500,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14750,10777375,0,7283542,25107792,0,42537000,53329333,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,12917,10389250,0,5097959,6323541,19292,21243667,31646708,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15292,11526500,0,5667417,8127375,21250,23955958,35498750,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15584,10985084,0,5469959,4287000,568250,20262792,31264333,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15542,11170333,0,7177750,25164167,0,42362666,53549667,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14708,11253875,0,5725125,7089917,25042,22210541,33480042,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,16791,11257042,0,5608083,7692333,26875,23312833,34587708,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14375,11644042,0,6569333,4245833,256208,21035292,32694583,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14792,11553875,0,7033834,25156584,0,42194125,53763625,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14666,11348375,0,5140417,6844667,14250,21871042,33235125,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15250,11115750,0,5347541,8426583,19541,23981875,35113875,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15458,10746500,0,5042375,4222208,221791,19598625,30361125,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15291,10734792,0,7171625,25480250,0,42799500,53550792,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15208,10856708,0,5251875,7217125,20209,22606291,33479167,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15291,10662958,0,6058250,8063250,20833,24280208,34959375,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14542,10814333,0,4933916,4242375,231000,19512250,30342333,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14375,11410292,0,6814916,25312584,0,42561291,53986625,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,15667,10896916,0,4906750,7102458,19958,21612250,32525500,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14917,11064834,0,6781250,8633334,29000,25589833,36679250,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15625,11096208,0,4973250,4452167,231625,19848834,30962042,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15042,11138167,0,7057250,25536000,0,42841625,53995417,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14584,11048000,0,5468208,7298292,15542,22720333,33783750,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15375,11169708,0,5614541,7879625,14792,23490916,34676500,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15000,11537000,0,4867334,4222542,245667,19286750,30839167,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,16167,11089250,0,7095917,25146333,0,42239542,53345708,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14958,11001750,0,5692042,6976667,21125,22303583,33321041,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,15417,10914167,0,5628333,8230833,22291,23805083,34735459,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,14500,10888417,0,4939167,4229083,224083,19371792,30275500,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,15583,10998208,0,7743208,24695333,0,42432584,53447000,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,13417,10612458,0,5114500,6808125,15709,21559250,32186000,0
WDecrease,0,1,true,"accepted",0,1,20,20,1,1,2,0,1,0,20,true,0,0,14875,11013792,0,5985250,7919250,20041,23853833,34883250,0
TDecrease,0,1,true,"accepted",0,1,20,19,1,2,3,1,0,1,20,true,0,0,15250,11073750,0,5170083,4248584,225375,19753000,30842708,0
WIncrease,0,1,true,"accepted",0,1,20,20,1,2,2,2,0,0,20,true,0,0,14417,11001041,0,6834083,24977666,0,42096666,53112708,0
TIncrease,0,1,true,"accepted",0,1,20,21,1,1,1,1,0,0,20,true,0,0,14541,11366625,0,5198084,6990250,20458,22352625,33734542,0
