=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 32
Total Threshold(Weight): 40
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Participant 8 (Weight: 1)
Participant 9 (Weight: 2)
Participant 10 (Weight: 3)
Participant 11 (Weight: 4)
Participant 12 (Weight: 1)
Participant 13 (Weight: 2)
Participant 14 (Weight: 3)
Participant 15 (Weight: 4)
Signing Participants Total Weight: 40

# REG-ADAPT benchmark
# args_N=80 args_threshold=40 setup_ns=1321931541 repeats=30 target=0 cert=none local=false stale_ttl=2 sequence=false audit_exact=true audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,36625,0,0,0,0,0,0,36916,12375
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,22083,0,0,0,0,0,0,22167,5417
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,25459,0,0,0,0,0,0,25541,8417
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,26416,0,0,0,0,0,0,26500,9750
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,27833,0,0,0,0,0,0,27959,10333
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21875,0,0,0,0,0,0,22000,5375
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,24959,0,0,0,0,0,0,25083,8167
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,36458,0,0,0,0,0,0,36500,19500
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26750,0,0,0,0,0,0,26875,10167
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21791,0,0,0,0,0,0,21917,5292
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22875,0,0,0,0,0,0,23000,6083
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23875,0,0,0,0,0,0,23958,7375
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,27916,0,0,0,0,0,0,28000,10250
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,22375,0,0,0,0,0,0,22458,5875
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,28041,0,0,0,0,0,0,28125,11375
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23958,0,0,0,0,0,0,24084,7500
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26584,0,0,0,0,0,0,26708,10083
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21834,0,0,0,0,0,0,21958,5208
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22625,0,0,0,0,0,0,22709,5917
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,27459,0,0,0,0,0,0,27583,10750
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,28834,0,0,0,0,0,0,28916,12333
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21958,0,0,0,0,0,0,22084,5166
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22292,0,0,0,0,0,0,22417,5833
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23750,0,0,0,0,0,0,23875,7166
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,26750,0,0,0,0,0,0,26833,10084
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,22167,0,0,0,0,0,0,22250,5459
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,23333,0,0,0,0,0,0,23417,5958
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,2,3,23667,0,0,0,0,0,0,23792,7125
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,2,2,28042,0,0,0,0,0,0,28125,11375
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,1,1,21792,0,0,0,0,0,0,21875,5166
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,1,2,22708,0,0,0,0,0,0,22833,5875
