op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,19334,0,55353334,32109042,129741375,0,242637750,298011834,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16875,0,52808625,23895000,41874917,41500,134762500,187589458,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,17458,0,48996500,25894250,45143125,84208,141626375,190641875,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,17000,0,50567208,22702708,13720167,350000,107175709,157762000,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16417,0,50068834,43677875,123857791,0,239690833,289779750,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16083,0,49124750,20898000,43047375,31333,127375708,176518125,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,16458,0,49290542,21965333,46544791,42500,133575500,182883791,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16209,0,48815625,25685375,12699292,354584,107439000,156272083,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16709,0,49662583,28199041,100571208,0,194777917,244459792,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,14625,0,43705750,22684875,40312125,29750,125182792,168905583,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,16750,0,49823334,20616000,44683166,63125,130421833,180263708,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16042,0,46901250,21358333,13427834,768042,101985292,148903458,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,15000,0,45658834,27651166,103411333,0,195769875,241444958,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,14333,0,43071042,21397459,37856791,30000,120828458,163915459,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,16833,0,47661459,19947875,41560208,80542,125336333,173015917,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16584,0,45227958,17929500,12161375,381875,95604125,140849791,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,15125,0,48529166,30714417,100952209,0,193968458,242513958,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,44917,0,42292625,23760083,40726417,57042,126266833,168605791,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,17959,0,52541417,21830708,47353209,47250,139055125,191616125,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16250,0,52230667,25507541,13485750,332916,111023625,163272250,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16750,0,61890291,34879458,114646750,0,217204750,279113625,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16417,0,48267500,21811125,40650667,45125,125906667,174192916,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,17000,0,51436458,23528750,42055708,77167,136671334,188126500,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,20500,0,50139167,23337708,13829208,331833,106826417,156987875,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16625,0,47638375,35916083,115660292,0,217073542,264730125,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,15209,0,51648250,19752292,42212667,71000,127548042,179213333,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,47625,0,44221209,22918125,41576750,50250,134617833,178888250,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,16417,0,48959083,64632416,13900458,389125,176941542,225918000,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,16708,0,53311542,32401166,121677166,0,224407000,277736917,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16167,0,46972083,22751292,41389917,52958,137342292,184332792,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,18583,0,48432708,21265584,56313875,163166,149045542,197499042,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,21083,0,64699459,27734917,15936292,714792,152573709,217296542,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,22333,0,61324583,43606917,117384209,0,250732833,312081875,0
