=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 32
Total Threshold(Weight): 40
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Participant 8 (Weight: 1)
Participant 9 (Weight: 2)
Participant 10 (Weight: 3)
Participant 11 (Weight: 4)
Participant 12 (Weight: 1)
Participant 13 (Weight: 2)
Participant 14 (Weight: 3)
Participant 15 (Weight: 4)
Signing Participants Total Weight: 40

# REG-ADAPT benchmark
# args_N=80 args_threshold=40 setup_ns=1983225583 repeats=30 target=0 cert=none local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,0,0,22709,0,0,31964583,126880792,0,245349792,245373584,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,0,0,19166,0,0,22232875,39541958,56209,139717416,139737750,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,0,0,19375,0,0,28313500,59362375,110208,165192875,165213334,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,0,0,18792,0,0,22223958,14645625,486458,114530292,114550208,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,0,0,20458,0,0,31947584,113665084,0,222745125,222766459,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,0,0,17083,0,0,21510417,38236083,31334,125338167,125356334,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,0,0,16709,0,0,22312042,41852167,48917,129382584,129400125,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,false,0,0,18709,0,0,20531916,12532416,361958,98420333,98440208,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,false,0,0,16458,0,0,28940750,102112833,0,196332750,196349916,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,false,0,0,15625,0,0,20648542,36333292,205417,114634333,114650875,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,false,0,0,17000,0,0,21982458,40676125,57958,126233167,126250583,0
