=== Uniform Weight Distribution Mode ===

--- Execution Info ---
Total Participants: 32
Total Threshold(Weight): 40
Maximum Weight: 4

Signing Participants:
Participant 0 (Weight: 1)
Participant 1 (Weight: 2)
Participant 2 (Weight: 3)
Participant 3 (Weight: 4)
Participant 4 (Weight: 1)
Participant 5 (Weight: 2)
Participant 6 (Weight: 3)
Participant 7 (Weight: 4)
Participant 8 (Weight: 1)
Participant 9 (Weight: 2)
Participant 10 (Weight: 3)
Participant 11 (Weight: 4)
Participant 12 (Weight: 1)
Participant 13 (Weight: 2)
Participant 14 (Weight: 3)
Participant 15 (Weight: 4)
Signing Participants Total Weight: 40

# REG-ADAPT benchmark
# args_N=80 args_threshold=40 setup_ns=1648320792 repeats=30 target=0 cert=online local=true stale_ttl=2 sequence=false audit_exact=false audit_point_offset=0
# ADAPT-style sequence demo under REG metadata guard
# demo_step=1 op=TIncrease delta=50 accepted=true old_t=100 new_t=150 final_exposure=99 transient_exposure=99 reason="accepted"
# demo_step=2 op=WIncrease delta=50 accepted=true old_t=150 new_t=150 final_exposure=149 transient_exposure=149 reason="accepted"
# demo_step=3 op=TDecrease delta=50 accepted=false old_t=150 new_t=100 final_exposure=199 transient_exposure=249 reason="final exposure reaches threshold"
# exact-rank tightness demo threshold=2 conservative_final=2 exact_final=1 conservative_rejects=true exact_accepts=true
op,target,delta,accepted,reason,old_epoch,new_epoch,old_t,new_t,old_exposure,final_exposure,transient_exposure,live_rows,stale_rows,public_rows,cert_weight,cert_verified,exact_final_rank,exact_transient_rank,metadata_guard_ns,cert_online_ns,cert_full_ns,local_compute_ns,local_verify_ns,local_update_ns,local_total_ns,total_ns,exact_rank_audit_ns
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,22792,62448541,0,40077708,132249958,0,252416875,314890875,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,18500,57528417,0,25964708,47862625,53042,151493584,209042042,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,31208,65560041,0,39766042,87080292,98667,213582125,279175917,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,25916,68876458,0,29233125,15860416,423709,135906583,204812958,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,18542,55372166,0,32523125,153261000,0,265995417,321387583,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,18667,54879417,0,23776041,42588041,35916,139807583,194707250,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,19167,56178083,0,23351625,43741875,58916,145765125,201963959,0
TDecrease,0,1,true,"accepted",0,1,40,39,1,2,3,1,0,1,40,true,0,0,19042,51797833,0,20877750,12519792,396000,104318042,156136292,0
WIncrease,0,1,true,"accepted",0,1,40,40,1,2,2,2,0,0,40,true,0,0,15916,62906208,0,127849083,121852917,0,351379833,414304042,0
TIncrease,0,1,true,"accepted",0,1,40,41,1,1,1,1,0,0,40,true,0,0,16875,52725084,0,31290167,45590833,59417,148919709,201663792,0
WDecrease,0,1,true,"accepted",0,1,40,40,1,1,2,0,1,0,40,true,0,0,19625,53827750,0,27198084,58854250,96750,155752958,209601792,0
